Simulation Total Time;31055;;;;;;;;;
Total Number of Sensed Events by the WSN;989;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;989;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;127;270;0;143;28467.84;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;123;269;0;146;26.993.544;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;135;285;0;150;24.981.053.333;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;127;273;0;146;26.993.448;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;138;0;138;30.996.688;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;140;1;140;29996.64;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;146;1;146;26.996.496;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;141;1;141;29.496.616;;;
Events;;;;;;;;;;
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed;;;;;;
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1137;0;;;;;;
Simulation Total Time;31528;;;;;;;;;
Total Number of Sensed Events by the WSN;87;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;87;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;;;
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node0;0;137;53;0;13;31.166.346.667;;;
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node1;0;180;98;1;12;31.332.743.333;;;
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node2;0;181;94;0;11;31.499.434;;;
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node3;0;129;47;0;12;31.333.049.333;;;
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node4;0;110;40;1;14;30.999.758;;;
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node5;0;196;33;1;11;31499.8;;;
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node6;0;174;36;0;15;30.833.115.333;;;
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node7;0;94;35;0;16;30.666.454.667;;;
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node8;0;75;26;0;13;31.166.508.667;;;
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node9;0;93;22;0;12;31.333.199.333;;;
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node10;0;89;24;0;14;30.999.854;;;
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node11;0;70;23;0;13;31.166.526.667;;;
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node12;0;36;13;0;13;31.166.586.667;;;
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node13;0;47;11;0;11;31.499.932;;;
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node14;0;46;12;0;12;31.333.259.333;;;
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node15;0;35;12;0;12;31.333.259.333;;;
Events;;;;;;;;;;
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed;;;;;;
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1204;0;;;;;;
Simulation Total Time;32222;;;;;;;;;
Total Number of Sensed Events by the WSN;1035;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;1035;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;408;551;1;143;28.428.925.333;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;973;1114;0;141;29.470.421.333;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;1006;1148;0;142;28.826.816;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;414;559;0;145;27.486.584;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;263;408;0;145;27.490.208;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;276;422;1;146;26.989.872;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;300;447;0;147;26.489.272;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;266;414;0;148;25.990.064;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;117;263;0;146;26.993.688;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;128;276;1;148;25.984.458.667;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;149;300;0;151;24492.8;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;144;285;1;141;29493.16;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;136;1;136;31.996.736;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;142;1;142;28.996.592;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;150;0;150;24996.4;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;144;0;144;27.996.544;;;
Events;;;;;;;;;;
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed;;;;;;
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1214;0;;;;;;
Simulation Total Time;33232;;;;;;;;;
Total Number of Sensed Events by the WSN;965;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;965;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;397;537;1;140;29.987.112;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;940;1090;1;150;24.965.946.667;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;973;1120;0;147;26.434.373.333;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;419;560;1;141;29486.56;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;249;397;1;148;25.976.157.333;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;289;439;0;150;24.989.464;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;281;433;0;152;23.989.608;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;274;419;1;145;27.489.944;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;119;264;0;145;27.445.221.333;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;147;295;0;148;25992.92;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;127;281;0;154;22.993.256;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;127;274;1;147;26.441.141.333;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;134;1;134;32.996.784;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;147;0;147;26.496.472;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;145;0;145;27496.52;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;141;0;141;29.405.538.667;;;
Events;;;;;;;;;;
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed;;;;;;
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1236;0;;;;;;
Simulation Total Time;31433;;;;;;;;;
Total Number of Sensed Events by the WSN;935;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;935;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;412;550;1;138;30.732.266.667;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;915;1063;0;149;25.436.829.333;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;910;1060;0;151;24474.56;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;403;548;0;146;26.962.282.667;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;267;412;0;145;27.490.112;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;271;417;0;146;26.989.992;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;270;420;0;150;24.987.973.333;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;264;408;0;145;27.464.736;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;118;267;0;149;25.493.592;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;125;271;0;147;26.425.165.333;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;141;288;0;147;26.493.088;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;138;280;1;142;28.859.093.333;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;140;0;140;29996.64;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;140;1;140;29996.64;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;145;0;145;27.339.506.667;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;140;0;140;29.464.213.333;;;
Events;;;;;;;;;;
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed;;;;;;
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1181;0;;;;;;
Simulation Total Time;29303;;;;;;;;;
Total Number of Sensed Events by the WSN;1021;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;1021;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;423;567;0;144;27.842.797.333;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;987;1133;0;146;26.965.602.667;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;978;1124;1;146;26.973.024;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;438;581;0;143;28.486.056;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;281;424;0;143;28.489.824;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;287;432;0;145;27.489.632;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;253;407;0;154;22.986.077.333;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;294;438;0;144;27.989.488;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;136;281;1;145;27.493.256;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;138;287;0;149;25.463.704;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;131;280;0;149;25463.76;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;147;294;0;147;26.452.981.333;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;143;1;143;28.478.189.333;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;146;0;146;26.996.496;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;142;1;142;28.992.864;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;147;0;147;26.496.472;;;
Events;;;;;;;;;;
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed;;;;;;
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1114;0;;;;;;
Simulation Total Time;31169;;;;;;;;;
Total Number of Sensed Events by the WSN;1048;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;1024;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;430;568;1;138;30.727.691.333;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;975;1119;0;144;27.803.470.667;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;1002;1147;1;145;27.459.776;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;437;581;1;144;27.976.552;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;286;430;0;144;27.982.114;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;270;420;0;150;24.977.134;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;270;421;0;151;24.476.858;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;291;437;1;146;26981.76;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;142;286;0;144;27.987.964;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;144;290;0;146;26.986.248;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;148;294;0;146;26.986.044;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;143;291;1;148;25.987.856;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;143;1;143;28.162.660.667;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;145;0;145;27.493.058;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;148;0;148;25.993.022;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;147;1;147;26.493.838;;;
Events;;;;;;;;;;
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed;;;;;;
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1194;0;;;;;;
Simulation Total Time;29609;;;;;;;;;
Total Number of Sensed Events by the WSN;1002;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;1002;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;427;571;1;144;27976.87;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;1571;571;;;;;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;1000;1144;1;144;27.959.698;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;2141;1144;;;;;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;997;1141;0;144;27959.77;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;2141;1141;;;;;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;437;578;1;141;29198.22;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;1578;578;;;;;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;281;427;1;146;26.982.132;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;1270;427;;;;;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;282;429;0;147;26.476.168;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;2257;429;;;;;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;280;428;0;148;25.976.312;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;2237;428;;;;;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;292;437;0;145;27.481.784;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;1289;437;;;;;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;132;281;1;149;25.488.252;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;834;281;;;;;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;133;282;0;149;25.486.542;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;1115;282;;;;;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;131;280;0;149;25.486.596;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;1114;280;;;;;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;146;292;0;146;26.987.814;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;863;292;;;;;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;145;0;145;27.493.976;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;424;145;;;;;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;143;1;143;28.493.142;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;571;143;;;;;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;144;0;144;27.990.376.667;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;569;144;;;;;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;146;0;146;26993.91;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;431;146;;;;;;;
Events;;;;;;;;;;
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed;;;;;;
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1104;0;;;;;;
Simulation Total Time;31627;;;;;;;;;
Total Number of Sensed Events by the WSN;974;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;974;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;417;558;1522;558;1;141;29.477.476;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;957;1105;2047;1105;0;148;25.956.401.333;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;940;1089;2030;1089;0;149;25461.69;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;431;572;1520;572;0;141;29.477.152;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;270;417;1238;417;1;147;26.482.564;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;274;425;2138;425;0;151;24.476.978;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;281;431;2165;431;1;150;24.976.666;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;287;431;1282;431;1;144;27.981.964;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;123;270;814;270;0;147;26.488.636;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;122;274;1054;274;0;152;23.987.106;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;149;294;1138;294;0;145;27.486.116;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;145;288;870;288;1;143;28.487.868;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;137;415;137;1;137;31.494.222;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;145;549;145;1;145;27.493.226;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;149;555;149;0;149;25.493.094;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;145;433;145;0;145;27.493.922;
Events;;;;;;;;;;
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed;;;;;;
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1198;0;;;;;;
Simulation Total Time;31476;;;;;;;;;
Total Number of Sensed Events by the WSN;1002;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;1002;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;412;557;1522;557;0;145;27.477.166.667;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;973;1116;2088;1116;1;143;28.460.688;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;970;1115;2081;1115;0;145;27432.92;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;408;545;1523;545;1;137;31.477.782;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;264;412;1231;412;0;148;25.982.726;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;267;416;2175;416;0;149;25.476.972;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;285;433;2172;433;1;148;25.976.576;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;263;408;1233;408;1;145;27482.81;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;122;268;806;268;1;146;26.988.732;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;124;272;1089;272;0;148;25.986.938;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;133;285;1038;285;0;152;23.986.938;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;123;267;817;267;0;144;27.925.565.333;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;140;408;140;1;140;29.994.192;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;140;558;140;0;140;29.993.292;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;146;532;146;0;146;26.993.304;
