Simulation Total Time;7167356
Total Number of Sensed Events by the WSN;255376
Number of Sensed Events by the WSN per Day
1;3248
2;3314
3;3277
4;3276
5;3256
6;3273
7;3269
8;3247
9;3279
10;3217
11;3276
12;3240
13;3251
14;3192
15;3324
16;3299
17;3335
18;3273
19;3265
20;3249
21;3273
22;3303
23;3214
24;3223
25;3264
26;3290
27;3245
28;3221
29;3202
30;3282
31;3223
32;3242
33;3264
34;3290
35;3296
36;3220
37;3282
38;3285
39;3276
40;3302
41;3252
42;3237
43;3243
44;3274
45;3246
46;3291
47;3235
48;3228
49;3202
50;3257
51;3309
52;3281
53;3231
54;3231
55;3259
56;3245
57;3227
58;3245
59;3201
60;3244
61;3221
62;3252
63;3251
64;3241
65;3193
66;3231
67;3236
68;3266
69;3251
70;3295
71;3261
72;3254
73;3260
74;3258
75;3169
76;3317
77;3239
78;2065
79;1771
80;850
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;253214;85342;1;11256;7123487,948001
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;440030;179128;0;12693;6883425,232001
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;902662;273595;1;12684;6884358,430002
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;628986;641751;0;12766;6868482,827339
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;902888;273823;0;12687;6883857,062002
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;440350;179144;0;12618;6895925,136001
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;252769;84833;1;11208;7131491,002001
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;227985;74086;1;12605;6898722,150667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;398058;81521;0;13834;6693844,207334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;501848;81783;0;13859;6689675,968667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;866779;81953;0;13963;6672341,615334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;503021;82046;0;13900;6682841,057334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;397157;82080;0;14101;6649340,853334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;227534;73625;0;12620;6896224,916667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;190594;61481;1;12673;6887464,447334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;263444;67729;0;13729;6711426,959334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;271416;67924;0;13928;6678259,122667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;272133;68022;0;13910;6681258,534667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;272408;68150;1;13881;6686091,1
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;263440;68071;0;14025;6662091,574
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;189976;61005;1;12703;6882467,303334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;151573;48808;1;12705;6882207,152
