Simulation Total Time;578024
Total Number of Sensed Events by the WSN;20943
Number of Sensed Events by the WSN per Day
1;3217
2;3237
3;3219
4;3254
5;3231
6;3237
7;1548
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;20690;6893;1;919;576087,84094
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;36164;14716;0;1021;566416,856751
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;74136;22468;1;1042;564419,627803
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;51712;52721;0;1009;567515,677854
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;74205;22502;0;1017;566788,014841
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;36178;14732;0;1051;563574,735481
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;20790;6988;1;930;575045,640637
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;18670;5974;1;1010;567467,707695
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;32716;6825;0;1173;552024,751074
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;41374;6720;0;1167;552593,277171
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;71409;6742;0;1157;553540,623582
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;41404;6753;0;1154;553824,823104
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;32667;6722;1;1208;548709,064643
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;18710;6058;1;1038;564814,992081
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;15589;4964;1;1009;567563,454963
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;21737;5660;1;1159;553352,232354
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;22422;5578;0;1126;556478,630178
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;22356;5590;1;1144;554773,355015
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;22342;5599;1;1152;554015,451274
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;21649;5555;0;1165;552783,916345
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;15602;5021;1;1032;565384,45057
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;12407;3955;1;1017;566806,569651
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;17365;4506;0;1137;555437,597366
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;17856;4452;1;1126;556479,756652
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;17672;4446;1;1192;550227,131075
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;17709;4447;0;1167;552595,551128
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;17148;4390;0;1169;552406,134467
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;12349;3989;0;1049;563774,956689
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;9216;2938;0;1042;564439,166026
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;12914;3369;0;1156;553638,734845
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node30;0;13296;3326;0;1139;555249,304179
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node31;0;13201;3289;0;1147;554491,446457
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node32;0;13079;3287;0;1159;553354,606353
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node33;0;12658;3227;0;1142;554965,192694
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node34;0;9123;2942;0;1035;565102,319919
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node35;0;6036;1904;0;1019;566619,14783
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node36;0;8395;2213;0;1195;549945,154489
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node37;0;8704;2187;0;1154;553829,391027
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node38;0;8615;2145;0;1135;555629,433044
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node39;0;8473;2128;0;1159;553355,765841
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node40;0;8215;2091;1;1115;557524,223909
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node41;0;5927;1909;0;1016;566903,353354
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node42;0;2941;900;1;900;577893,836463
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node43;0;4148;1037;0;1037;564914,752037
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node44;0;4245;1054;1;1054;563304,208714
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node45;0;4195;1028;0;1028;565767,39262
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node46;0;4152;997;1;997;568704,265738
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node47;0;3986;996;1;996;568799,003581
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node48;0;2905;908;0;908;577135,933723
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;21650;0
Simulation Total Time;581169
Total Number of Sensed Events by the WSN;21139
Number of Sensed Events by the WSN per Day
1;3302
2;3267
3;3245
4;3260
5;3259
6;3268
7;1538
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;20616;6853;1;879;579877,354641
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;36084;14642;0;1024;566132,720256
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;74421;22465;0;1024;566124,893962
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;51954;52980;0;1027;565810,155587
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;74621;22724;1;1054;563282,52959
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;36459;14781;1;1046;564048,370671
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;20807;6948;1;922;575803,57539
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;18584;5974;1;1015;566994,023485
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;32835;6793;0;1139;555245,835719
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;41508;6799;0;1149;554298,461295
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;72006;6769;0;1138;555340,596571
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;41700;6904;0;1193;550129,935198
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;33070;6805;1;1154;553824,771082
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;18735;6026;1;1030;565572,918831
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;15615;4968;1;984;569931,872013
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;21857;5657;0;1132;555910,130092
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;22592;5652;1;1142;554962,766673
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;22642;5631;1;1137;555436,471892
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;22747;5727;0;1159;553352,165325
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;21906;5651;0;1160;553257,504515
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;15633;4996;0;1040;564626,580844
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;12436;3984;0;1028;565764,435375
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;17452;4525;0;1153;553921,788884
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;18015;4510;0;1159;553353,382838
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;18052;4494;0;1149;554300,767266
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;18091;4568;1;1177;551648,061656
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;17359;4491;0;1189;550511,296583
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;12430;3968;0;1025;566048,661908
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;9257;2956;0;1057;563018,095387
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;13062;3377;0;1120;557049,253157
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node30;0;13415;3351;0;1163;552975,594957
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node31;0;13354;3345;0;1196;549849,285171
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node32;0;13426;3391;0;1183;551080,818099
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node33;0;12924;3313;1;1146;554586,159289
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node34;0;9212;2944;0;1013;567186,528445
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node35;0;6112;1907;0;1009;567566,51325
