Simulation Total Time;16885832
Total Number of Sensed Events by the WSN;222846
Number of Sensed Events by the WSN per Day
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node42;0;13571;19673;79292;19830;19673;0;6259;5361036,579136
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node43;0;13730;19631;79388;19985;19631;0;6255;5357943,033237
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node44;0;13759;19589;79700;20012;19589;0;6253;5495680,272533
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node45;0;13724;19921;79547;19982;19921;0;6258;5412619,336416
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node46;0;13343;19608;78442;19609;19608;0;6266;5276334,255082
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node47;0;13246;19515;77968;19516;19515;0;6270;5267284,145877
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node48;0;13703;19976;68100;19976;19976;0;6273;5363540,766465
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node49;0;12459;18066;56475;18594;18066;0;6135;9338819,635146
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node50;0;13725;19872;56527;19881;19872;0;6156;9205261,973278
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node51;0;10502;16755;61718;16816;16755;0;6314;5272816,381825
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node52;0;10580;16886;67417;16886;16886;0;6306;5326092,535483
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node53;0;10775;17025;68019;17073;17025;1;6298;5459832,325578
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node54;0;10770;17069;68089;17069;17069;1;6299;5366051,23532
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node55;0;10723;17027;67558;17027;17027;0;6304;5295646,62577
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node56;0;10556;16614;67127;16857;16614;0;6301;5352977,612463
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node57;0;10579;16425;67226;16875;16425;0;6296;5398551,564821
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node58;0;10713;16999;58254;17024;16999;0;6311;5358903,449268
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node59;0;9557;15692;48528;15728;15692;1;6171;9523201,97745
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node60;0;10047;15872;46282;16245;15872;0;6198;9568331,461589
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node61;0;7828;13676;51552;14169;13676;0;6341;5459986,832896
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node62;0;7694;13812;55885;14036;13812;0;6342;5412619,43024
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node63;0;7733;14079;55999;14079;14079;0;6346;5342834,151312
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node64;0;7784;14128;56225;14128;14128;0;6344;5318671,684564
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node65;0;7818;14043;55961;14161;14043;0;6343;5333328,381894
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node66;0;7716;13790;55977;14054;13790;0;6338;5423550,240202
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node67;0;7898;13829;56349;14233;13829;1;6335;5530449,128565
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node68;0;7928;13994;48748;14273;13994;0;6345;5459344,649283
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node69;0;6693;12910;40034;12910;12910;0;6217;9342997,768085
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node70;0;5989;12232;35642;12232;12232;1;6243;9473495,380957
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node71;0;4812;11126;40810;11200;11126;0;6388;5494557,761493
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node72;0;4909;10866;44579;11289;10866;1;6380;5671741,904672
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node73;0;4722;10994;44178;11109;10994;0;6387;5400761,613243
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node74;0;4824;11031;44569;11208;11031;0;6384;5487116,982645
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node75;0;4741;11067;44311;11129;11067;0;6388;5364335,22871
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node76;0;4704;11053;44184;11090;11053;0;6386;5434808,890752
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node77;0;4909;11147;44766;11287;11147;1;6378;5622330,366848
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node78;0;4833;11153;39025;11222;11153;0;6389;5510687,512586
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node79;0;3987;10065;31443;10246;10065;0;6259;9482803,857717
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node80;0;1961;8231;24064;8257;8231;0;6296;9427693,283285
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node81;0;1776;8226;28026;8226;8226;1;6450;5506755,38261
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node82;0;1791;8234;31384;8234;8234;0;6443;5623163,228239
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node83;0;1719;8082;30905;8171;8082;0;6452;5464906,382336
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node84;0;1750;8203;30995;8203;8203;0;6453;5397845,766953
