Simulation Total Time;22973052
Total Number of Sensed Events by the WSN;259878
Number of Sensed Events by the WSN per Day
1;40558
2;40551
3;40620
4;40662
5;40540
6;20212
7;11913
8;11858
9;11295
10;1669
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Received ACK Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node49;0;13175;19898;61365;19898;19898;1;6723;800882,686636
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node50;0;15078;21804;61682;21805;21804;0;6727;815223,348951
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node51;0;11449;18155;67195;18174;18155;0;6725;465640,684846
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node52;0;11504;18228;72744;18229;18228;0;6725;461232,103079
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node53;0;11446;18171;71855;18171;18171;0;6725;451017,356257
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node54;0;11141;17866;71347;17866;17866;0;6725;449101,648325
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node55;0;11421;18090;72027;18146;18090;0;6725;458960,770517
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node56;0;11612;18336;73170;18336;18336;0;6724;512812,50316
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node57;0;11536;17975;72912;18259;17975;1;6723;473525,811428
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node58;0;11536;18160;63212;18261;18160;0;6725;473575,351324
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node59;0;10084;16811;51787;16811;16811;0;6727;792841,995021
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node60;0;10779;17401;49882;17511;17401;0;6732;831654,132181
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node61;0;8158;14887;62439;14887;14887;1;6729;460503,433668
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node62;0;8329;14992;60007;15057;14992;1;6728;491944,887961
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node63;0;8293;14906;60044;15021;14906;0;6728;460883,153007
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node64;0;8467;14600;59771;15195;14600;0;6728;465099,032558
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node65;0;8405;14771;60398;15133;14771;1;6728;484692,454427
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node66;0;8404;15132;60301;15133;15132;0;6729;471139,042476
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node67;0;8330;15059;60247;15059;15059;1;6729;462776,067128
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node68;0;8296;15026;59067;15026;15026;1;6730;463489,973
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node69;0;7245;13700;42688;13976;13700;0;6731;804915,640395
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node70;0;6530;13190;38111;13267;13190;0;6737;864785,975322
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node71;0;4963;11697;42749;11697;11697;0;6734;458447,283096
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node72;0;5137;11870;47099;11870;11870;1;6733;466565,875918
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node73;0;5065;11798;47650;11798;11798;1;6733;459699,572401
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node74;0;5405;11925;47763;12137;11925;1;6732;488045,980955
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node75;0;5213;11924;47878;11946;11924;0;6733;487813,642421
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node76;0;5173;11841;47558;11906;11841;1;6733;479325,398718
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node77;0;5096;11829;47287;11829;11829;1;6733;462611,976687
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node78;0;5037;11771;41084;11771;11771;0;6734;462221,517433
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node79;0;4228;10851;33531;10963;10851;0;6735;813037,6035
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node80;0;2160;8902;25999;8903;8902;0;6743;849538,05788
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node81;0;2060;8459;29916;8800;8459;0;6740;491734,097794
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node82;0;1806;8547;32874;8547;8547;0;6741;465581,738947
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node83;0;1881;8622;32598;8622;8622;1;6741;459571,801167
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node84;0;2296;8824;33787;9036;8824;1;6740;513314,429827
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node85;0;2022;8704;33701;8762;8704;0;6740;497309,805356
