Simulation Total Time;29049071
Total Number of Sensed Events by the WSN;259965
Number of Sensed Events by the WSN per Day
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node34;0;17797;24425;97962;24513;24425;0;6716;5725511,082609
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node35;0;17976;24489;98151;24692;24489;0;6716;5859614,836652
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node36;0;17707;24423;97805;24423;24423;1;6716;5719491,801144
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node37;0;17534;24250;97309;24250;24250;1;6716;5633411,927705
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node38;0;17702;24419;83760;24419;24419;0;6717;5822024,95148
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node39;0;16974;23649;71767;23692;23649;1;6718;10547591,748737
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node40;0;19361;26082;73510;26082;26082;1;6721;10208589,640471
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node41;0;14589;21309;79068;21310;21309;0;6721;5725657,808334
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node42;0;14887;21501;85682;21607;21501;1;6720;6009575,398311
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node43;0;14552;21272;85623;21272;21272;1;6720;5708137,166908
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node44;0;14741;21353;85458;21461;21353;0;6720;5831834,902139
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node45;0;14851;21494;85682;21571;21494;1;6720;6001745,456923
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node46;0;14459;21180;84312;21180;21180;0;6721;5636365,570848
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node47;0;14347;21068;84107;21068;21068;0;6721;5611812,398066
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node48;0;14532;21253;72507;21254;21253;0;6722;5707217,167652
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node49;0;13892;20563;62350;20614;20563;1;6722;10956485,022649
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node50;0;15030;21756;61726;21756;21756;1;6726;10209030,005247
