Simulation Total Time;603078
Total Number of Sensed Events by the WSN;21273
Number of Sensed Events by the WSN per Day
1;3201
2;3243
3;3251
4;3314
5;3254
6;3286
7;1724
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;27101;8376;0;663;600338,988894
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;48715;19388;0;893;578538,498573
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;70393;30221;0;873;580422,397854
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;92063;41048;1;846;582969,461032
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;102866;51861;0;861;581537,590848
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;102871;51866;0;856;582011,270056
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;91910;40948;0;899;577948,508443
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;70015;29940;0;873;580422,678973
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;48173;19106;0;873;580433,517534
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;26766;8303;1;643;602233,798767
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;25332;7713;0;879;579876,494279
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;45252;10142;0;1184;550979,327414
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;58645;9960;0;1183;551074,246333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;69375;9981;1;1137;555432,120061
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;80226;9953;1;1142;554958,463862
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;80272;10062;0;1177;551642,565342
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;69386;10134;0;1187;550695,124891
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;58271;9961;1;1189;550505,82428
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;44773;9951;0;1154;553821,623757
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;25032;7660;1;863;581392,336775
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;22565;6834;1;932;574856,321017
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;33108;8958;0;1231;546527,880333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;35296;8777;0;1209;548612,271936
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;35168;8844;0;1196;549843,783855
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;35379;8817;1;1129;556191,179288
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;35593;8894;1;1142;554959,523308
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;35610;8968;0;1157;553538,396645
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;35285;8772;1;1190;550412,276938
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;32777;8797;0;1188;550601,725612
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;22390;6797;1;864;581298,463296
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node30;0;19501;5902;1;957;572488,832357
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node31;0;28545;7727;0;1246;545108,05922
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node32;0;30554;7594;0;1195;549939,771224
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node33;0;30619;7670;1;1171;552213,379402
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node34;0;30811;7690;0;1118;557234,412025
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node35;0;31002;7752;0;1140;555150,139473
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node36;0;31005;7811;0;1137;555434,290974
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node37;0;30667;7611;0;1167;552592,385795
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node38;0;28580;7662;0;1150;554202,86109
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node39;0;19533;5933;1;859;581773,01187
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node40;0;16523;4979;1;894;578458,176798
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node41;0;24223;6536;0;1191;550319,777037
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node42;0;25941;6431;0;1126;556477,776819
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node43;0;26037;6505;0;1137;555435,597524
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node44;0;26192;6572;0;1173;552025,00418
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node45;0;26398;6612;0;1186;550793,385216
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node46;0;26374;6674;1;1164;552877,533716
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node47;0;26076;6447;0;1160;553256,70818
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node48;0;24371;6518;1;1121;556951,373992
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node49;0;16656;5074;0;869;580826,502811
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node50;0;13606;4108;1;858;581869,574481
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node51;0;20062;5377;1;1112;557805,147052
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node52;0;21407;5314;1;1083;560552,578499
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node53;0;21446;5368;0;1137;555436,735003
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node54;0;21614;5405;0;1164;552878,803251
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node55;0;21805;5438;0;1160;553257,717605
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node56;0;21740;5510;1;1164;552878,698206
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node57;0;21540;5309;1;1123;556763,109817
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node58;0;20090;5397;1;1144;554773,548096
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node59;0;13769;4205;1;902;577701,056387
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node60;0;10778;3250;0;846;583007,274947
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node61;0;15914;4266;0;1102;558753,626941
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node62;0;16919;4231;0;1116;557427,346166
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node63;0;16901;4231;0;1164;552879,977745
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node64;0;16989;4241;0;1165;552785,230899
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node65;0;17182;4283;0;1132;555911,50467
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node66;0;17203;4352;0;1128;556290,38301
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node67;0;16961;4186;0;1138;555343,180659
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node68;0;15843;4253;0;1148;554395,745209
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node69;0;10896;3313;1;875;580259,8435
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node70;0;7949;2404;0;868;580923,910777
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node71;0;11706;3164;0;1153;553923,150457
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node72;0;12418;3115;0;1155;553733,725794
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node73;0;12295;3067;0;1178;551554,826445
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node74;0;12373;3076;1;1162;553070,606915
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node75;0;12542;3151;0;1177;551649,479252
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node76;0;12511;3224;0;1201;549375,722011
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node77;0;12452;3057;0;1124;556670,625923
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node78;0;11618;3109;0;1137;555438,994954
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node79;0;7975;2438;0;884;579408,087289
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node80;0;5051;1536;0;894;578461,621248
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node81;0;7423;2011;0;1189;550513,777627
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node82;0;7813;1960;0;1165;552787,512859
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node83;0;7729;1908;1;1136;555534,933302
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node84;0;7750;1930;0;1138;555345,437608
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node85;0;7890;1975;1;1173;552029,603116
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node86;0;7931;2025;1;1193;550134,816253
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node87;0;7862;1933;0;1125;556577,013555
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node88;0;7335;1972;1;1151;554113,816643
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node89;0;5052;1554;0;909;577040,550609
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node90;0;2392;667;1;667;599967,753772
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node91;0;3497;856;0;856;582062,301534
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node92;0;3624;842;1;842;583388,63133
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node93;0;3574;809;1;809;586514,980133
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node94;0;3582;824;1;824;585093,912495
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node95;0;3668;843;0;843;583293,893487
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node96;0;3711;870;0;870;580735,971739
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node97;0;3672;846;0;846;583009,67996
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node98;0;3470;869;1;869;580830,709581
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node99;0;2423;677;0;677;599020,375347
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;22711;0
Simulation Total Time;606249
Total Number of Sensed Events by the WSN;21399
Number of Sensed Events by the WSN per Day
1;3311
2;3225
3;3324
4;3275
5;3289
6;3268
7;1707
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;27121;8292;0;601;606212,75714
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;49051;19430;0;869;580812,140766
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;71109;30491;1;853;582316,864583
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;92991;41471;0;888;578990,090486
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;104009;52408;1;863;581347,569933
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;104027;52467;1;848;582768,56354
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;93246;41645;0;863;581358,337465
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;71489;30669;1;825;584969,318087
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;49339;19510;0;839;583654,165996
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;27238;8359;1;631;603370,584849
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;25397;7691;0;859;581771,25313
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;45912;10295;0;1130;556094,963823
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;59557;10208;0;1152;554010,840333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;70229;10107;1;1171;552210,941376
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;80917;10074;0;1165;552779,395443
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;81014;9974;0;1154;553821,600748
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;70486;10127;0;1154;553821,447683
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;59896;10334;1;1152;554010,71428
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;46129;10335;0;1143;554863,344859
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;25511;7728;0;884;579402,795062
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;22839;6832;0;849;582719,480913
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;33900;9165;0;1171;552211,883773
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;36215;9056;0;1152;554011,992819
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;35919;8951;1;1124;556664,729442
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;35644;8929;0;1133;555812,119872
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;35577;8826;0;1125;556570,117652
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;35905;8973;0;1187;550696,28638
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;36487;9182;0;1186;550790,814134
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;34085;9192;0;1176;551738,172551
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;22880;6844;0;884;579403,679434
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node30;0;19868;5983;1;929;575141,382902
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node31;0;29484;7994;0;1228;546813,055266
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node32;0;31591;7904;0;1185;550886,829514
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node33;0;31260;7827;0;1182;551171,117073
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node34;0;31103;7796;1;1146;554581,674402
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node35;0;30861;7701;0;1191;550318,611547
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node36;0;31273;7788;0;1185;550886,945563
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node37;0;31703;7996;0;1217;547855,158528
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node38;0;29594;8016;1;1243;545391,980625
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node39;0;19899;5960;1;917;576278,248017
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node40;0;16864;5054;0;940;574100,20703
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node41;0;25052;6771;0;1224;547193,226149
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node42;0;26873;6721;1;1175;551835,381433
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node43;0;26680;6657;1;1166;552688,077039
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node44;0;26478;6650;0;1155;553730,189305
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node45;0;26382;6535;0;1130;556098,725406
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node46;0;26575;6626;0;1149;554298,634368
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node47;0;26894;6779;1;1219;547666,902356
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node48;0;25095;6773;0;1251;544635,329411
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node49;0;16817;5043;0;956;572584,428561
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node50;0;13812;4123;0;921;575901,138422
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node51;0;20566;5556;0;1211;548426,020608
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node52;0;22125;5546;0;1181;551268,135875
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node53;0;22025;5492;0;1162;553068,189898
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node54;0;21909;5497;1;1134;555720,816475
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node55;0;21836;5410;1;1089;559984,061406
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node56;0;22002;5483;0;1094;559510,304165
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node57;0;22125;5577;1;1203;549183,894336
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node58;0;20440;5522;1;1262;543594,475675
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node59;0;13712;4098;1;951;573059,058169
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node60;0;10823;3211;0;886;579217,84028
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node61;0;16166;4375;1;1185;550890,36
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node62;0;17332;4365;0;1220;547574,580531
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node63;0;17375;4330;0;1171;552216,720808
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node64;0;17334;4363;0;1167;552595,635163
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node65;0;17340;4321;1;1137;555437,782444
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node66;0;17428;4389;0;1144;554774,55652
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node67;0;17456;4386;0;1179;551458,770048
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node68;0;15941;4290;0;1224;547195,708194
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node69;0;10642;3169;0;916;576375,777034
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node70;0;7889;2334;0;851;582534,507123
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node71;0;11763;3195;0;1177;551649,435234
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node72;0;12693;3159;0;1181;551270,52388
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node73;0;12602;3159;0;1211;548428,418617
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node74;0;12713;3196;0;1183;551081,013181
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node75;0;12781;3184;0;1162;553070,49887
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node76;0;12818;3245;0;1189;550512,543107
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node77;0;12721;3207;1;1191;550323,107439
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node78;0;11530;3080;1;1181;551270,602914
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node79;0;7676;2276;0;849;582724,038831
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node80;0;4975;1483;0;872;580545,884797
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node81;0;7463;2031;0;1157;553545,336566
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node82;0;7952;1980;1;1169;552408,545482
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node83;0;7953;1963;0;1166;552692,773016
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node84;0;8022;2017;0;1173;552029,561098
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node85;0;8099;2022;0;1179;551461,135043
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node86;0;8118;2056;1;1210;548524,258924
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node87;0;7986;2016;0;1190;550419,035783
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node88;0;7210;1916;0;1151;554113,872667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node89;0;4775;1427;1;844;583198,572399
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node90;0;2394;630;0;630;603473,053945
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node91;0;3495;911;1;911;576851,720195
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node92;0;3737;859;0;859;581778,088007
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node93;0;3704;849;0;849;582725,466432
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node94;0;3743;882;0;882;579599,117629
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node95;0;3798;883;1;883;579504,379786
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node96;0;3801;894;1;894;578462,263518
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node97;0;3718;867;1;867;581020,185267
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node98;0;3370;816;1;816;585851,815235
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node99;0;2243;607;1;607;605652,024323
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;22998;0
Simulation Total Time;603210
Total Number of Sensed Events by the WSN;21265
Number of Sensed Events by the WSN per Day
1;3200
2;3298
3;3183
4;3275
5;3268
6;3252
7;1789
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;26496;8084;0;644;602139,281017
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;48212;19056;0;896;578254,620187
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;69997;30051;0;901;577769,936347
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;91588;40849;0;879;579843,344327
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;103143;51621;0;849;582674,673054
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;103111;52371;0;878;579926,554317
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;92951;41454;0;874;580316,423283
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;71020;30444;0;878;579948,49055
